Date,month_sin,month_cos,day_of_week_sin,day_of_week_cos,days_since_start,GDP growth rate (%),Unemployment rate (%),Real interest rate (%),Inflation rate (%),Population growth (%),Export growth (%),Import growth (%),SentimentNum
2003-10-28,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,1396,3.660399713419378,5.610917808219178,1.6965281647168058,2.561799278836771,0.917920617017452,11.874635015286993,14.853630691070933,1
2003-10-29,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,1397,3.6632823592445,5.609657534246575,1.6951612769643771,2.56375756075036,0.9181030662026124,11.90179669697208,14.875461077922392,0
2003-10-30,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,1398,3.6661650050696206,5.608397260273972,1.6937943892119487,2.5657158426639493,0.9182855153877726,11.928958378657171,14.897291464773854,0
2003-10-31,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,1399,3.669047650894742,5.60713698630137,1.69242750145952,2.567674124577538,0.9184679645729328,11.95612006034226,14.919121851625317,0
2003-11-01,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146,1400,3.671930296719864,5.605876712328767,1.6910606137070916,2.569632406491127,0.918650413758093,11.98328174202735,14.940952238476775,0
2003-11-02,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334,1401,3.674812942544985,5.604616438356164,1.689693725954663,2.571590688404716,0.9188328629432532,12.010443423712438,14.962782625328238,0
2003-11-03,-0.5000000000000004,0.8660254037844384,0.0,1.0,1402,3.677695588370106,5.603356164383562,1.6883268382022345,2.5735489703183045,0.9190153121284136,12.037605105397528,14.9846130121797,-1
2003-11-04,-0.5000000000000004,0.8660254037844384,0.7818314824680298,0.6234898018587336,1403,3.680578234195227,5.602095890410959,1.6869599504498058,2.5755072522318936,0.9191977613135736,12.064766787082617,15.006443399031165,-1
2003-11-05,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434,1404,3.683460880020348,5.600835616438356,1.6855930626973774,2.577465534145482,0.919380210498734,12.091928468767708,15.028273785882623,-1
2003-11-06,-0.5000000000000004,0.8660254037844384,0.43388373911755823,-0.900968867902419,1405,3.686343525845469,5.599575342465753,1.6842261749449488,2.579423816059072,0.9195626596838942,12.119090150452797,15.050104172734086,0
2003-11-07,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191,1406,3.689226171670591,5.59831506849315,1.6828592871925203,2.5813820979726603,0.9197451088690544,12.146251832137883,15.071934559585548,0
2003-11-09,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334,1408,3.694991463320833,5.595794520547945,1.6801255116876632,2.5852986617998384,0.9201100072393747,12.200575195508064,15.115595333288471,0
2003-11-10,-0.5000000000000004,0.8660254037844384,0.0,1.0,1409,3.6978741091459546,5.594534246575343,1.6787586239352346,2.5872569437134274,0.920292456424535,12.227736877193152,15.137425720139934,-1
2003-11-11,-0.5000000000000004,0.8660254037844384,0.7818314824680298,0.6234898018587336,1410,3.700756754971076,5.59327397260274,1.677391736182806,2.589215225627016,0.9204749056096952,12.254898558878242,15.159256106991394,-1
2003-11-12,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434,1411,3.703639400796197,5.5920136986301365,1.6760248484303777,2.591173507540605,0.9206573547948556,12.28206024056333,15.181086493842855,0
2003-11-16,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334,1415,3.7151699840966814,5.586972602739726,1.6705572974206633,2.599006635194961,0.9213871515354964,12.390706967303688,15.268408041248705,0
2003-11-17,-0.5000000000000004,0.8660254037844384,0.0,1.0,1416,3.7180526299218033,5.585712328767123,1.6691904096682348,2.6009649171085494,0.9215696007206566,12.417868648988776,15.290238428100164,0
2003-11-18,-0.5000000000000004,0.8660254037844384,0.7818314824680298,0.6234898018587336,1417,3.7209352757469247,5.584452054794521,1.6678235219158062,2.6029231990221384,0.9217520499058168,12.445030330673866,15.312068814951626,0
2003-11-19,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434,1418,3.7238179215720457,5.583191780821918,1.6664566341633775,2.6048814809357275,0.9219344990909772,12.472192012358954,15.333899201803089,0
2003-11-20,-0.5000000000000004,0.8660254037844384,0.43388373911755823,-0.900968867902419,1419,3.726700567397167,5.581931506849315,1.665089746410949,2.606839762849316,0.9221169482761372,12.499353694044045,15.355729588654553,0
